Study Author,Year,BioProject,Region,SampleName,tot_reads,Coryne,Cuti,Other,Staph,Strep
Baker,2024,SUB14054091,USA,ConcatenatedReads_10AA_TP_5_all,5361017,195470,490828,3776028,289826,608865
Baker,2024,SUB14054091,USA,ConcatenatedReads_10PA_TP_5_all,19459730,117286,17892498,1043318,210351,196277
Baker,2024,SUB14054091,USA,ConcatenatedReads_10PB_TP_5_all,6479031,343136,4632870,1091155,382783,29087
Baker,2024,SUB14054091,USA,ConcatenatedReads_11AA_TP_3_all,8218578,149755,1686661,3018682,2711046,652434
Baker,2024,SUB14054091,USA,ConcatenatedReads_11PA_TP_4_all,9675353,407568,747545,3455780,4299146,765314
Baker,2024,SUB14054091,USA,ConcatenatedReads_12AA_TP_3_all,12426290,195307,5288211,5326713,171346,1444713
Baker,2024,SUB14054091,USA,ConcatenatedReads_12PA_TP_4_all,7217029,19373,6402690,359341,421162,14463
Baker,2024,SUB14054091,USA,ConcatenatedReads_13AA_TP_4_all,7653181,148612,1034423,5540973,175482,753691
Baker,2024,SUB14054091,USA,ConcatenatedReads_13PA_TP_4_all,2483001,48756,1607925,767650,44512,14158
Baker,2024,SUB14054091,USA,ConcatenatedReads_13PB_TP_1_all,12312999,70984,9400824,1323374,1362220,155597
Baker,2024,SUB14054091,USA,ConcatenatedReads_14AA_TP_3_all,5575955,176848,317266,3774115,58220,1249506
Baker,2024,SUB14054091,USA,ConcatenatedReads_14PA_TP_2_all,37244596,180308,31137844,1447036,3942291,537117
Baker,2024,SUB14054091,USA,ConcatenatedReads_15AA_TP_5_all,4934680,293543,529369,3339161,324766,447841
Baker,2024,SUB14054091,USA,ConcatenatedReads_15AB_TP_4_all,8916749,232059,322486,6050481,336487,1975236
Baker,2024,SUB14054091,USA,ConcatenatedReads_15PA_TP_5_all,57301744,2399066,46794103,2279948,5771792,56835
Baker,2024,SUB14054091,USA,ConcatenatedReads_16PB_TP_3_all,19386481,82223,13246316,1121529,4510828,425585
Baker,2024,SUB14054091,USA,ConcatenatedReads_17AA_TP_1_all,3575138,261277,222170,2514293,85176,492222
Baker,2024,SUB14054091,USA,ConcatenatedReads_17AB_TP_1_all,1797648,59403,233540,1290535,54108,160062
Baker,2024,SUB14054091,USA,ConcatenatedReads_17PA_TP_3_all,47645949,319436,38810125,4651209,2937413,927766
Baker,2024,SUB14054091,USA,ConcatenatedReads_19AA_TP_1_all,13451074,181525,11440291,1214412,434902,179944
Baker,2024,SUB14054091,USA,ConcatenatedReads_19PA_TP_1_all,14115893,151305,10050682,3519302,174014,220590
Baker,2024,SUB14054091,USA,ConcatenatedReads_1AA_TP_4_all,3428035,29620,2417266,654021,72952,254176
Baker,2024,SUB14054091,USA,ConcatenatedReads_1PA_TP_5_all,14598728,122600,11176503,1425202,1455268,419155
Baker,2024,SUB14054091,USA,ConcatenatedReads_1PB_TP_2_all,23304598,925433,18934738,2923709,363938,156780
Baker,2024,SUB14054091,USA,ConcatenatedReads_21AA_TP_1_all,6193275,984958,394793,3803268,292576,717680
Baker,2024,SUB14054091,USA,ConcatenatedReads_21PA_TP_5_all,14305318,594422,9319906,2488270,1488029,414691
Baker,2024,SUB14054091,USA,ConcatenatedReads_22AA_TP_1_all,6183054,297532,2461813,2446656,201152,775901
Baker,2024,SUB14054091,USA,ConcatenatedReads_22PA_TP_1_all,27534763,56394,24382162,958740,2109288,28179
Baker,2024,SUB14054091,USA,ConcatenatedReads_23AA_TP_1_all,6436220,117347,465779,4035940,271635,1545519
Baker,2024,SUB14054091,USA,ConcatenatedReads_23PA_TP_1_all,15133391,146393,13018096,1463137,289492,216273
Baker,2024,SUB14054091,USA,ConcatenatedReads_24AA_TP_3_all,6726233,346631,215427,4369904,153606,1640665
Baker,2024,SUB14054091,USA,ConcatenatedReads_25AA_TP_1_all,2744558,295286,295778,1678132,126865,348497
Baker,2024,SUB14054091,USA,ConcatenatedReads_25PA_TP_1_all,30073013,206591,26989933,810037,2048131,18321
Baker,2024,SUB14054091,USA,ConcatenatedReads_2AA_TP_5_all,10891860,316299,4978786,3127279,1459416,1010080
Baker,2024,SUB14054091,USA,ConcatenatedReads_2AB_TP_5_all,4874677,203563,659532,3558622,71011,381949
Baker,2024,SUB14054091,USA,ConcatenatedReads_2PA_TP_3_all,2141320,3544,1545144,91036,462423,39173
Baker,2024,SUB14054091,USA,ConcatenatedReads_2PB_TP_1_all,567837,19211,317049,151261,66304,14012
Baker,2024,SUB14054091,USA,ConcatenatedReads_3AA_TP_2_all,10857558,358310,708769,7485701,702954,1601824
Baker,2024,SUB14054091,USA,ConcatenatedReads_3AB_TP_2_all,21006892,146629,316033,12888629,315602,7339999
Baker,2024,SUB14054091,USA,ConcatenatedReads_3PA_TP_2_all,2063498,8131,1767115,258306,12410,17536
Baker,2024,SUB14054091,USA,ConcatenatedReads_4AA_TP_1_all,1713291,69918,460257,728495,234542,220079
Baker,2024,SUB14054091,USA,ConcatenatedReads_4AB_TP_1_all,4985001,21187,263810,1162381,3167439,370184
Baker,2024,SUB14054091,USA,ConcatenatedReads_4AC_TP_1_all,3794949,111390,236059,2176012,239799,1031689
Baker,2024,SUB14054091,USA,ConcatenatedReads_4PA_TP_2_all,33087904,356652,23679294,7448106,600266,1003586
Baker,2024,SUB14054091,USA,ConcatenatedReads_5AA_TP_1_all,5323460,125515,340499,3289428,164148,1403870
Baker,2024,SUB14054091,USA,ConcatenatedReads_5AB_TP_3_all,6479150,362246,227376,4461029,238041,1190458
Baker,2024,SUB14054091,USA,ConcatenatedReads_5PA_TP_1_all,905677,17180,793717,61307,24934,8539
Baker,2024,SUB14054091,USA,ConcatenatedReads_5PB_TP_3_all,4823326,237886,3195523,361460,951116,77341
Baker,2024,SUB14054091,USA,ConcatenatedReads_6AA_TP_1_all,233830,11658,161144,21579,32554,6895
Baker,2024,SUB14054091,USA,ConcatenatedReads_6PA_TP_1_all,86169,7036,41668,21879,13628,1958
Baker,2024,SUB14054091,USA,ConcatenatedReads_7AA_TP_5_all,16616637,186524,11340091,3246207,1060463,783352
Baker,2024,SUB14054091,USA,ConcatenatedReads_7AB_TP_3_all,5397631,228916,291615,3654614,219106,1003380
Baker,2024,SUB14054091,USA,ConcatenatedReads_7PA_TP_5_all,5862531,986796,3636977,911190,222560,105008
Baker,2024,SUB14054091,USA,ConcatenatedReads_7PB_TP_4_all,8835204,153879,6116049,1092951,850386,621939
Baker,2024,SUB14054091,USA,ConcatenatedReads_8AA_TP_3_all,3458158,98187,254877,2561733,50550,492811
Baker,2024,SUB14054091,USA,ConcatenatedReads_8AB_TP_4_all,3369107,115930,2497115,166181,566150,23731
Baker,2024,SUB14054091,USA,ConcatenatedReads_8AC_TP_4_all,2479854,293767,571849,907067,300376,406795
Baker,2024,SUB14054091,USA,ConcatenatedReads_8PA_TP_3_all,391025,22058,297085,18781,49377,3724
Baker,2024,SUB14054091,USA,ConcatenatedReads_8PB_TP_5_all,22220018,956002,17690429,1787390,1584279,201918
Baker,2024,SUB14054091,USA,ConcatenatedReads_9AA_TP_1_all,13053529,107108,11202312,1549930,141576,52603
Baker,2024,SUB14054091,USA,ConcatenatedReads_9PA_TP_3_all,24474570,369014,10742426,8889932,1281218,3191980
Baker,2024,SUB14054091,USA,ConcatenatedReads_JSB_TP_2_all,56651206,416001,52310465,2113216,1229292,582232
Baker,2024,SUB14054091,USA,ConcatenatedReads_TCL_TP_2_all,12198504,231008,7685105,1061341,3069648,151402
Barnard,2016,PRJNA507062,USA,HLSR1601,3304733,707,3054228,215125,34047,626
Barnard,2016,PRJNA507062,USA,HLSR1602,242277,18,231668,10439,144,8
Barnard,2016,PRJNA507062,USA,HLSR1603,1960844,882,1819318,134064,5527,1053
Barnard,2016,PRJNA507062,USA,HLSR1604,726400,332,718410,6350,1149,159
Barnard,2016,PRJNA507062,USA,HLSR1605,2237323,90,2208102,7482,21482,167
Barnard,2016,PRJNA507062,USA,HLSR1606,2292928,1616,2101686,184941,3986,699
Barnard,2016,PRJNA507062,USA,HLSR1607,18880868,8640,18806041,10258,55906,23
Barnard,2016,PRJNA507062,USA,HLSR1608,4339749,314,4214850,123679,602,304
Barnard,2016,PRJNA507062,USA,HLSR1609,6435244,7641,6365653,55215,6666,69
Barnard,2016,PRJNA507062,USA,HLSR1610,487626,18,486490,438,655,25
Barnard,2016,PRJNA507062,USA,HLSR1611,532521,10982,367325,149848,2810,1556
Barnard,2016,PRJNA507062,USA,HLSR1612,9171924,1262,9088744,81207,523,188
Barnard,2016,PRJNA507062,USA,HLSR1613,4426267,76353,3999585,14758,335532,39
Barnard,2016,PRJNA507062,USA,HLSR1614,2784549,731,2779693,3264,796,65
Barnard,2016,PRJNA507062,USA,HLSR1615,297514,502,207705,83888,5084,335
Barnard,2016,PRJNA507062,USA,HLSR1616,918795,1067,878622,36720,2315,71
Barnard,2016,PRJNA507062,USA,HLSR1617,201524,61,159986,41039,373,65
Barnard,2016,PRJNA507062,USA,HLSR1618,999953,104,995759,2701,973,416
Barnard,2016,PRJNA507062,USA,HLSR1619,1155076,1239,228302,923393,1369,773
Barnard,2016,PRJNA507062,USA,HLSR1620,1254408,350,1229106,21440,3364,148
Barnard,2016,PRJNA507062,USA,HLSR1621,2127499,821,1829674,286659,8862,1483
Barnard,2016,PRJNA507062,USA,HLSR1622,10503142,2049,7647793,2849150,1541,2609
Barnard,2016,PRJNA507062,USA,HLSR1623,847303,430,489327,234136,122893,517
Barnard,2016,PRJNA507062,USA,HLSR1624,136984,2160,117694,9752,7371,7
Barnard,2016,PRJNA507062,USA,HLSR1625,2382185,85,2377660,4075,349,16
Barnard,2016,PRJNA507062,USA,HLSR1626,1736558,26036,1374083,295729,5083,35627
Barnard,2016,PRJNA507062,USA,HLSR1627,340312,499,292278,17882,29283,370
Barnard,2016,PRJNA507062,USA,HLSR1628,2425469,17159,2392972,4125,11152,61
Barnard,2016,PRJNA507062,USA,HLSR1629,846076,1769,821103,14842,7962,400
Barnard,2016,PRJNA507062,USA,HLSR1630,5428680,308,5420832,6648,823,69
Barnard,2016,PRJNA507062,USA,HLSR1631,408128,45,391559,15852,610,62
Barnard,2016,PRJNA507062,USA,HLSR1632,1493465,1857,1457851,30047,3468,242
Barnard,2016,PRJNA507062,USA,HLSR1633,934873,734,846489,74659,12530,461
Barnard,2016,PRJNA507062,USA,HLSR1634,984596,608,823315,149883,10381,409
Barnard,2016,PRJNA507062,USA,HLSR1635,4254831,4086,4235470,10306,4905,64
Barnard,2016,PRJNA507062,USA,HLSR1636,864215,432,561004,273869,28566,344
