SampleName,L,K,H,C,B,A,F,E,D
PAH_Individual7,0,0,0,0,0.175872469,0,0.786883993,0,0
PAH_Individual8,0,0,0,0,0,0,0.695332105,0,0
PAH_Individual11,0,0,0,0,0,0.393357934,0.603466456,0,0
PAH_Individual12,0,0,0.216058978,0,0,0.6871474,0.060095629,0,0
PAH_Individual26,0,0.107946197,0.155426891,0,0,0.143901038,0.563906897,0,0
PAH_Individual27,0,0,0,0,0,0.94397102,0,0,0
PAH_Individual54,0,0,0,0,0,0.681012974,0,0,0
PAH_Individual59,0,0,0,0,0,0.733202834,0,0,0
PAH_Individual74,0,0,0,0,0,0.455177854,0.544822146,0,0
PAH_Individual75,0,0.035239419,0.026644297,0,0.059725364,0.154817587,0.689877256,0,0
PAH_Individual94,0,0,0,0,0,0,0.905249714,0,0
PAH_Individual97,0,0,0,0,0,0,0.790395046,0,0
PAH_Individual105,0,0,0,0,0,0.730459072,0,0,0
PAH_Individual431,0.025027162,0,0,0,0,0.048655014,0.916009959,0,0
PAH_Individual437,0,0,0.148411147,0,0,0.782897402,0,0,0
PAH_Individual440,0,0,0,0,0,0.139347979,0.841720919,0,0
PAH_Individual446,0,0.069127997,0,0,0,0.402413085,0.528458918,0,0
PAH_Individual477,0,0.119299371,0.061931165,0,0,0.306836768,0.510034931,0,0
PAH_Individual482,0,0.011839468,0,0,0,0.625164715,0.344056457,0,0
PAH_Individual491,0,0,0,0,0,0,0.849402622,0,0
PAH_Individual501,0,0,0,0,0,0.584003153,0,0,0
PAH_Individual511,0,0,0,0,0,0.094058638,0.834717531,0,0
PAH_Individual518,0,0,0,0,0,0.015396973,0.969250669,0,0
PAH_Individual533,0,0.247063952,0,0,0,0.074696232,0.630338983,0,0
FDT01001cheek,0,0,0.035279514,0,0.510586758,0.224156427,0.069504432,0.012312276,0.028412175
FDT01002cheek,0,0,0,0,0,0.987962989,0,0,0.012037011
FDT01003cheek,0,0.014197282,0,0,0,0.930349548,0,0.028327534,0.027125635
FDT01004cheek,0.031331959,0.057593736,0,0,0,0.911074305,0,0,0
FDT01005cheek,0.236973978,0,0,0,0,0,0.763026022,0,0
FDT01006cheek,0.034817836,0,0,0,0,0.19712371,0.768058454,0,0
FDT01007cheek,0,0.014328972,0,0,0,0.846577884,0.09507538,0.02316853,0.020849234
