SampleName,L.1,K.3,K.2,K.1.1,K.1.2,H.2,H.3,H.1,C.1,B.1,A.1,A.2,A.3,F.3,F.1,F.2,E.1,D.1
PAH_Individual7,0,0,0,0,0,0,0,0,0,0.175872469,0,0,0,0.774390244,0,0,0,0
PAH_Individual8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427843457,0,0,0
PAH_Individual11,0,0,0,0,0,0,0,0,0,0,0.330154455,0,0,0.600524476,0,0,0,0
PAH_Individual12,0,0,0,0,0,0,0,0.251213699,0,0,0.019035742,0,0.648524671,0.060737832,0,0,0,0
PAH_Individual26,0,0,0,0.105120427,0,0,0,0.165989278,0,0,0.057564263,0,0.086730122,0,0,0.582775869,0,0
PAH_Individual27,0,0,0,0,0,0,0,0,0,0,0.882169461,0,0,0,0,0,0,0
PAH_Individual54,0,0,0,0,0,0,0,0,0,0,0.723909513,0,0,0,0,0,0,0
PAH_Individual59,0,0,0,0,0,0,0,0,0,0,0.664137779,0,0,0,0,0,0,0
PAH_Individual74,0,0,0,0,0,0,0,0,0,0,0.356158232,0,0,0.590246505,0,0,0,0
PAH_Individual75,0,0,0,0.032828016,0,0,0,0.026141094,0,0.059725364,0.108096862,0,0.049284605,0.662571525,0.049060551,0,0,0
PAH_Individual94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897232392,0,0,0,0
PAH_Individual97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417516065,0,0,0,0
PAH_Individual105,0,0,0,0,0,0,0,0,0,0,0.558025723,0,0,0,0,0,0,0
PAH_Individual431,0.025027162,0,0,0,0,0,0,0,0,0,0,0,0.02801331,0.012944715,0,0.910778101,0,0
PAH_Individual437,0,0,0,0,0,0,0,0,0,0,0.740815314,0,0,0,0,0,0,0
PAH_Individual440,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635439945,0,0.189258507,0,0
PAH_Individual446,0,0,0.054000403,0,0,0,0,0,0,0,0.098613084,0,0.278427843,0.44980404,0.08799934,0,0,0
PAH_Individual477,0,0,0,0.116208024,0,0.067894672,0,0,0,0,0,0,0.263175809,0.055499935,0,0,0,0
PAH_Individual482,0,0,0,0,0,0,0,0,0,0,0,0,0.581126561,0.375452208,0,0,0,0
PAH_Individual491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212670707,0,0,0,0
PAH_Individual501,0,0,0,0,0,0,0,0,0,0,0.632498732,0,0,0,0,0,0,0
PAH_Individual511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864175314,0,0,0,0
PAH_Individual518,0,0,0,0,0,0,0,0,0,0,0,0,0.011952828,0.871171771,0,0.093475756,0,0
PAH_Individual533,0,0,0.24458968,0,0,0,0,0,0,0,0.065434759,0,0,0,0,0.026294734,0,0
FDT01001cheek,0,0.010505466,0,0,0,0,0,0,0,0.510586758,0.192562987,0.016016002,0.02473234,0.092798491,0.017290653,0.010548175,0.012312276,0.028412175
FDT01002cheek,0,0,0,0,0.010799159,0,0,0,0,0,0.19806566,0.022053624,0.736660737,0,0.010275335,0.010459153,0,0.011686332
FDT01003cheek,0,0,0,0,0,0,0,0,0,0,0.914386101,0,0.030190017,0,0,0,0.028312573,0.027111309
FDT01004cheek,0.031712349,0,0,0.047836346,0,0,0,0,0,0,0.920451305,0,0,0,0,0,0,0
FDT01005cheek,0.644496881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDT01006cheek,0.033487735,0,0,0,0,0,0,0,0,0,0.1218226,0,0.111107885,0.73358178,0,0,0,0
FDT01007cheek,0,0,0,0,0,0,0,0,0,0,0.800135672,0,0.023564245,0.032040223,0,0.102379456,0.022043541,0.019836863
FDT01008cheek,0,0,0,0,0,0,0,0,0,0,0.044454519,0,0.868395123,0.039381082,0,0.014358816,0.018744863,0.014665598
FDT01009cheek,0,0,0,0,0,0,0,0,0,0,0.967009448,0.019621966,0.013368586,0,0,0,0,0
FDT01010cheek,0,0,0.044902876,0,0,0,0,0,0,0,0.018433684,0,0.896037535,0,0,0.011516887,0.014979067,0.014129952
FDT01011cheek,0.02303216,0,0.09873461,0,0,0.165234032,0,0,0,0,0.358887636,0,0.030881354,0.323230209,0,0,0,0
