SampleName,tot_reads,bracken_cacnes
HLSR1634,984596,0.835881925175402
FDT01004cheek,3010380,0.20890817770514
ConcatenatedReads_17AA_TP_1_all,3575138,0.0603296991612631
HLSR1606,2292928,0.894694905378625
V29D,1129274,0.755022253235264
SCC-DE-035-HS1,36631,0.159072916382299
FDT01010cheek,12186150,0.234034046848266
FDT01042cheek,12599786,0.626374209847691
HLSR1604,726400,0.988810572687225
V38G,1150213,0.758802934760779
HLSR1640,5663471,0.96027383207224
FDT01002cheek,14583369,0.379978796394715
AN01_Pore_WGS,3948439,0.572940344272762
FDT0888cheek,3973688,0.24008679091061
FDT01124cheek,372574,0.42624015631794
FDT01087cheek,5655126,0.574786308916901
HLSR1643,1001432,0.79392210354772
HLSR1661,142127,0.679884891681384
SCC-DE-067-HS1,468694,0.51403047617422
FDT0961cheek,657143,0.0600462912942845
FDT01107cheek,2577010,0.0747940442605966
FDT0873cheek,614127,0.116944866452704
FDT0984cheek,7105212,0.00559561065876711
FDT0901cheek,10458914,0.19856382794619
V57G,1591209,0.972761591971891
FDT0900cheek,1624921,0.148037350738897
V54D,5929672,0.880187302096979
FDT0996cheek,27899080,0.085168829939912
FDT0940cheek,5850284,0.780706030681587
FDT0895cheek,14860415,0.0410166203299168
FDT01172cheek,381985,0.477230781313402
SCC-DE-015-HS2,19002,0.490369434796337
FDT0902cheek,7156905,0.401171456097293
SCC-DE-068-HS2,56638,0.916116388290547
HLSR1639,4172546,0.940795140425055
ConcatenatedReads_24AA_TP_3_all,6726233,0.0314885018107461
FDT0985cheek,30512132,0.0278710448683166
FDT01139cheek,22391153,0.0502287666919162
SCC-DE-052-HS2,144778,0.855309508350716
V4D,779907,0.826798579830672
FDT0903cheek,1382844,0.114153874189713
FDT01073cheek,8276909,0.793848887308052
FDT01186cheek,1010809,0.52922856840412
V53G,749032,0.641076749724978
SCC-DE-036-HS1,722026,0.710313756014326
HLSR1663,356420,0.989534818472589
V41D,9085409,0.938667263080837
FDT01111cheek,10476853,0.000954771437568132
HLSR1620,1254408,0.978301318231389
HLSR1649,292923,0.876462415037399
FDT01106cheek,1111798,0.527199185463546
FDT01117cheek,5636919,0.434213264373676
FDT0897cheek,6875241,0.0350992787016484
ConcatenatedReads_1AA_TP_4_all,3428035,0.686135351593551
ConcatenatedReads_23AA_TP_1_all,6436220,0.0714977113896045
FDT01021cheek,5166196,0.0167926265283005
FDT01190cheek,2888211,0.102696790504572
FDT01133cheek,11349080,0.00215277361689229
ConcatenatedReads_2PA_TP_3_all,2141320,0.702490052864588
FDT0988cheek,15674399,0.51623893203178
FDT01100cheek,1016896,0.302735973000189
FDT01068cheek,17523987,0.104875505785299
V19D,17511495,0.976544035789063
V44D,1981577,0.863445124766789
V3D,1725577,0.723427004416494
MET0204,2394940,0.561257902076879
FDT01122cheek,3009076,0.0385410670916919
AN06_Pore_WGS,33548572,0.970550043083801
V12G,991581,0.626140476673111
AN15_Swab_WGS,7841473,0.0126013314080148
SCC-DE-017-HS1,38821,0.0376085108575256
SCC-DE-026-HS2,61262,0.716300479905978
AN13_Swab_WGS,8470010,0.978149376447017
HLSR1672,4054325,0.991874603047363
ConcatenatedReads_2PB_TP_1_all,567837,0.48326896627025
HLSR1677,1027412,0.619033065605619
V40G,5719670,0.843386593981821
V18D,20784833,0.974834101385371
HLSR1671,7095449,0.94035599438457
SCC-DE-071-HS2,11938,0.618194002345452
V45D,354886,0.462342836854652
FDT01110cheek,1301454,0.561926122628998
PAH_Individual26,3284189,0.684649695860987
PAH_Individual94,309733,0.525652739617671
ConcatenatedReads_1PA_TP_5_all,14598728,0.710448951442893
FDT01041cheek,893196,0.497035365138223
FDT01127cheek,5930619,0.107837984534161
HLSR1670,455591,0.774839713690569
FDT01091cheek,1635141,0.226126064969321
V43D,4147602,0.81025807201366
ConcatenatedReads_25PA_TP_1_all,30073013,0.890192179945521
PAH_Individual105,1200390,0.108409766825782
V42D,309564,0.381795040767014
FDT01123cheek,2797509,0.350097533198285
V20D,23052658,0.986821389533476
MET0157,1219446,0.556170588939568
V56D,4338083,0.590952270853278
SCC-DE-050-HS1,295345,0.491967021618785
ConcatenatedReads_13PA_TP_4_all,2483001,0.634007799433025
SCC-DE-016-HS2,446905,0.42204271601347
AN11_Swab_WGS,8072818,0.79232382050481
FDT01116cheek,1097181,0.00136258283728938
V45G,369726,0.399579688742474
V32D,1385999,0.861915484787507
FDT01178cheek,3705405,0.618537784668612
FDT01148cheek,5973742,0.0132384358079073
FDT01130cheek,3008043,0.022404599934243
FDT01134cheek,3706086,0.0800688381219432
FDT0958cheek,3053540,0.434281194940954
FDT0876cheek,19358044,0.911220782430291
FDT0911cheek,3600949,0.535088944608768
HLSR1610,487626,0.997301210353837
FDT0968cheek,10000478,0.783684739869434
V10G,1396533,0.705068909936249
PAH_Individual511,1162664,0.598145293911225
FDT0934cheek,2150120,0.0356287090953063
FDT0925cheek,5436111,0.40310858258781
FDT01102cheek,3381733,0.418428657732589
FDT0892cheek,2102515,0.427151768239466
FDT01179cheek,3830633,0.0233347856607511
AN17_Swab_WGS,1356516,0.634723069982219
ConcatenatedReads_13AA_TP_4_all,7653181,0.13337120865167
SCC-DE-008-HS1,72264,0.844293147348611
V9G,243592,0.494244474366974
AN09_Pore_WGS,67016011,0.980439226679726
MET0092,728579,0.91468461210109
V47G,10597568,0.905830469783256
AN19_Swab_WGS,28286402,0.93450259244707
SCC-DE-064-HS1,314676,0.622360777434568
HLSR1646,510185,0.962176465399806
HLSR1636,864215,0.648854741007735
FDT0979cheek,27742256,0.0108987891972448
V19G,8891996,0.959117053134077
V25G,3580112,0.909329372935819
FDT01151cheek,18107288,0.0202813916694758
