,sample,path,fna_file,fsa_file,gff_file,tbl_file,contig_base
0,0CC1C_S1C25,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C25,True,True,True,True,PAMFGBLK
0,0CC1C_S1C26,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C26,True,True,True,True,LGFDCDPE
0,0CC1C_S1C27,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C27,True,True,True,True,PBDGKBGA
0,0CC1C_S1C28,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C28,True,True,True,True,FLDAJPGA
0,0CC1C_S1C30,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C30,True,True,True,True,IKEGDNNL
0,0CC1C_S1C31,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C31,True,True,True,True,ICGEFILB
0,0CC1C_S1C32,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C32,True,True,True,True,BPCDEDBL
0,0CC1C_S1C34,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C34,True,True,True,True,JLDNEDHF
0,0CC1C_S1C36,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C36,True,True,True,True,MGHKJHCA
0,0CC1C_S1C37,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C37,True,True,True,True,IOJOCIPK
0,0CC1C_S1C39,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C39,True,True,True,True,MNIKKMIP
0,0CC1C_S1C41,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C41,True,True,True,True,EJCGNHFK
0,0CC1C_S1C43,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1C_S1C43,True,True,True,True,HFLCDPCK
