genus,species,n_isolates,min_defense_systems,max_defense_systems,median_defense_systems,mean_defense_systems
Corynebacterium,Corynebacterium accolens,1,7,7,7,7
Corynebacterium,Corynebacterium ammoniagenes,2,3,4,3.5,3.5
Corynebacterium,Corynebacterium amycolatum,5,0,7,5,4
Corynebacterium,Corynebacterium anserum,1,3,3,3,3
Corynebacterium,Corynebacterium aquilae,1,4,4,4,4
Corynebacterium,Corynebacterium argentoratense,1,1,1,1,1
Corynebacterium,Corynebacterium atypicum,1,8,8,8,8
Corynebacterium,Corynebacterium aurimucosum,2,6,8,7,7
Corynebacterium,Corynebacterium bovis,1,6,6,6,6
Corynebacterium,Corynebacterium camporealensis,2,4,6,5,5
Corynebacterium,Corynebacterium casei,1,14,14,14,14
Corynebacterium,Corynebacterium comes,1,6,6,6,6
Corynebacterium,Corynebacterium coyleae,2,7,11,9,9
Corynebacterium,Corynebacterium crudilactis,1,6,6,6,6
Corynebacterium,Corynebacterium cyclohexanicum,1,6,6,6,6
Corynebacterium,Corynebacterium cystitidis,1,11,11,11,11
Corynebacterium,Corynebacterium deserti,1,8,8,8,8
Corynebacterium,Corynebacterium diphtheriae,19,7,12,9,9.37
Corynebacterium,Corynebacterium doosanense,1,5,5,5,5
Corynebacterium,Corynebacterium efficiens,1,7,7,7,7
Corynebacterium,Corynebacterium endometrii,1,5,5,5,5
Corynebacterium,Corynebacterium epidermidicanis,1,6,6,6,6
Corynebacterium,Corynebacterium falsenii,2,6,8,7,7
Corynebacterium,Corynebacterium flavescens,1,9,9,9,9
Corynebacterium,Corynebacterium frankenforstense,1,4,4,4,4
Corynebacterium,Corynebacterium freneyi,2,5,6,5.5,5.5
Corynebacterium,Corynebacterium gerontici,1,5,5,5,5
Corynebacterium,Corynebacterium glaucum,1,4,4,4,4
Corynebacterium,Corynebacterium glucuronolyticum,4,6,11,7.5,8
Corynebacterium,Corynebacterium glutamicum,25,2,9,5,6.08
Corynebacterium,Corynebacterium glyciniphilum,1,5,5,5,5
Corynebacterium,Corynebacterium halotolerans,1,2,2,2,2
Corynebacterium,Corynebacterium hindlerae,1,9,9,9,9
Corynebacterium,Corynebacterium humireducens,1,10,10,10,10
Corynebacterium,Corynebacterium imitans,2,5,5,5,5
Corynebacterium,Corynebacterium jeikeium,3,2,5,4,3.67
Corynebacterium,Corynebacterium kalinowskii,1,2,2,2,2
Corynebacterium,Corynebacterium kefirresidentii,1,8,8,8,8
Corynebacterium,Corynebacterium kroppenstedtii,2,3,3,3,3
Corynebacterium,Corynebacterium kutscheri,4,4,7,5,5.25
Corynebacterium,Corynebacterium lactis,1,7,7,7,7
Corynebacterium,Corynebacterium liangguodongii,1,5,5,5,5
Corynebacterium,Corynebacterium lizhenjunii,1,12,12,12,12
Corynebacterium,Corynebacterium lujinxingii,1,5,5,5,5
Corynebacterium,Corynebacterium macginleyi,3,5,6,6,5.67
Corynebacterium,Corynebacterium marinum,1,4,4,4,4
Corynebacterium,Corynebacterium maris,1,6,6,6,6
Corynebacterium,Corynebacterium matruchotii,2,4,8,6,6
Corynebacterium,Corynebacterium minutissimum,5,4,5,4,4.2
Corynebacterium,Corynebacterium mustelae,1,7,7,7,7
Corynebacterium,Corynebacterium nuruki,1,8,8,8,8
Corynebacterium,Corynebacterium occultum,1,6,6,6,6
Corynebacterium,Corynebacterium pelargi,1,4,4,4,4
Corynebacterium,Corynebacterium phocae,1,13,13,13,13
Corynebacterium,Corynebacterium poyangense,1,5,5,5,5
Corynebacterium,Corynebacterium propinquum,3,3,7,3,4.33
Corynebacterium,Corynebacterium provencense,1,6,6,6,6
Corynebacterium,Corynebacterium pseudodiphtheriticum,3,7,13,7,9
Corynebacterium,Corynebacterium pseudopelargi,1,2,2,2,2
Corynebacterium,Corynebacterium pseudotuberculosis,99,1,4,3,2.74
Corynebacterium,Corynebacterium qintianiae,1,4,4,4,4
Corynebacterium,Corynebacterium ramonii,1,6,6,6,6
Corynebacterium,Corynebacterium renale,2,6,7,6.5,6.5
Corynebacterium,Corynebacterium resistens,1,7,7,7,7
Corynebacterium,Corynebacterium riegelii,1,9,9,9,9
Corynebacterium,Corynebacterium rouxii,1,11,11,11,11
Corynebacterium,Corynebacterium sanguinis,1,7,7,7,7
Corynebacterium,Corynebacterium segmentosum,1,5,5,5,5
Corynebacterium,Corynebacterium silvaticum,1,3,3,3,3
Corynebacterium,Corynebacterium simulans,2,6,6,6,6
Corynebacterium,Corynebacterium singulare,1,10,10,10,10
Corynebacterium,Corynebacterium sp. ATCC 6931,1,3,3,3,3
Corynebacterium,Corynebacterium sp. CNCTC7651,1,6,6,6,6
Corynebacterium,Corynebacterium sp. FDAARGOS 1242,1,4,4,4,4
Corynebacterium,Corynebacterium sp. NML98-0116,1,7,7,7,7
Corynebacterium,Corynebacterium sp. sy039,1,7,7,7,7
Corynebacterium,Corynebacterium sphenisci,1,2,2,2,2
Corynebacterium,Corynebacterium stationis,3,4,6,4,4.67
Corynebacterium,Corynebacterium striatum,6,5,11,8.5,8
Corynebacterium,Corynebacterium suranareeae,1,6,6,6,6
Corynebacterium,Corynebacterium terpenotabidum,1,10,10,10,10
Corynebacterium,Corynebacterium testudinoris,1,13,13,13,13
Corynebacterium,Corynebacterium tuberculostearicum,2,4,7,5.5,5.5
Corynebacterium,Corynebacterium uberis,6,3,4,3,3.33
Corynebacterium,Corynebacterium ulcerans,13,3,6,3,3.62
Corynebacterium,Corynebacterium urealyticum,3,9,10,10,9.67
Corynebacterium,Corynebacterium ureicelerivorans,1,5,5,5,5
Corynebacterium,Corynebacterium urogenitale,1,2,2,2,2
Corynebacterium,Corynebacterium uterequi,1,4,4,4,4
Corynebacterium,Corynebacterium variabile,1,4,4,4,4
Corynebacterium,Corynebacterium vitaeruminis,1,12,12,12,12
Corynebacterium,Corynebacterium xerosis,2,5,7,6,6
Corynebacterium,Corynebacterium yudongzhengii,1,3,3,3,3
Corynebacterium,Corynebacterium zhongnanshanii,1,6,6,6,6
Cutibacterium,Cutibacterium acnes,15,0,4,1,1.2
Cutibacterium,Cutibacterium avidum,6,5,11,7.5,8
Cutibacterium,Cutibacterium granulosum,1,3,3,3,3
