,gene,gains,losses,count,dist,subsize
0,rsmI,0,0,45.0,0.0,0.5557239999999999
1,group_3539,0,0,45.0,0.0,0.5557239999999999
2,carB_1,0,0,45.0,0.0,0.5557239999999999
3,group_1628,0,0,45.0,0.0,0.5557239999999999
4,group_1696,0,0,45.0,0.0,0.5557239999999999
5,group_1741,0,0,45.0,0.0,0.5557239999999999
6,yhjX,0,0,45.0,0.0,0.5557239999999999
7,mak,0,0,45.0,0.0,0.5557239999999999
8,pmt,0,0,45.0,0.0,0.5557239999999999
9,por,0,0,45.0,0.0,0.5557239999999999
10,trxA,0,0,45.0,0.0,0.5557239999999999
11,aat,0,0,45.0,0.0,0.5557239999999999
12,group_1878,0,0,45.0,0.0,0.5557239999999999
13,fieF,0,0,45.0,0.0,0.5557239999999999
14,glnA_2,0,0,45.0,0.0,0.5557239999999999
15,gabR,0,0,45.0,0.0,0.5557239999999999
16,gyrB_2,0,0,45.0,0.0,0.5557239999999999
17,group_2041,0,0,45.0,0.0,0.5557239999999999
18,iscS,0,0,45.0,0.0,0.5557239999999999
19,yfeW,0,0,45.0,0.0,0.5557239999999999
20,group_2050,0,0,45.0,0.0,0.5557239999999999
21,group_2088,0,0,45.0,0.0,0.5557239999999999
22,group_2109,0,0,45.0,0.0,0.5557239999999999
23,group_2113,0,0,45.0,0.0,0.5557239999999999
24,uxuA,0,0,45.0,0.0,0.5557239999999999
25,ghrB,0,0,45.0,0.0,0.5557239999999999
26,ftnA,0,0,45.0,0.0,0.5557239999999999
27,nrdD,0,0,45.0,0.0,0.5557239999999999
28,iaaA,0,0,45.0,0.0,0.5557239999999999
29,ligA,0,0,45.0,0.0,0.5557239999999999
30,rph,0,0,45.0,0.0,0.5557239999999999
31,yhfK,0,0,45.0,0.0,0.5557239999999999
32,lepA,0,0,45.0,0.0,0.5557239999999999
33,treP,0,0,45.0,0.0,0.5557239999999999
34,group_2418,0,0,45.0,0.0,0.5557239999999999
35,group_2431,0,0,45.0,0.0,0.5557239999999999
36,pxpA,0,0,45.0,0.0,0.5557239999999999
37,group_2466,0,0,45.0,0.0,0.5557239999999999
38,group_2467,0,0,45.0,0.0,0.5557239999999999
39,group_2479,0,0,45.0,0.0,0.5557239999999999
40,group_2532,0,0,45.0,0.0,0.5557239999999999
41,gbuC,0,0,45.0,0.0,0.5557239999999999
42,secA,0,0,45.0,0.0,0.5557239999999999
43,bioY,0,0,45.0,0.0,0.5557239999999999
44,group_2636,0,0,45.0,0.0,0.5557239999999999
45,group_2705,0,0,45.0,0.0,0.5557239999999999
46,glgC,0,0,45.0,0.0,0.5557239999999999
47,group_2755,0,0,45.0,0.0,0.5557239999999999
