TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
A|001-Ext-tcNoW-4_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:001-Ext-tcNoW-4_t00
A|002-Ext-blFoB-4_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:002-Ext-blFoB-4_t00
A|003-Ext-blFoB-1_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:003-Ext-blFoB-1_t00
A|003-Ext-blFoB-3_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:003-Ext-blFoB-3_t00
A|004-Ext-clFoW-1_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:004-Ext-clFoW-1_t00
A|004-Ext-clFoW-2_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:004-Ext-clFoW-2_t00
A|004-Ext-clFoW-3_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:004-Ext-clFoW-3_t00
A|004-Ext-clFoW-4_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:004-Ext-clFoW-4_t00
A|005-Ext-brFoBr-11_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-11_t00
A|005-Ext-brFoBr-12_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-12_t00
A|005-Ext-brFoBr-13_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-13_t00
A|005-Ext-brFoBr-17_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-17_t00
A|005-Ext-brFoBr-18_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-18_t00
A|005-Ext-brFoBr-19_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-19_t00
A|005-Ext-brFoBr-2_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-2_t00
A|005-Ext-brFoBr-3_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-3_t00
A|005-Ext-brFoBr-4_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-4_t00
A|005-Ext-brFoBr-8_t00,Conwill2022,biogeo1,D.1,D,Adult 1 - Lineage 1,A:005-Ext-brFoBr-8_t00
