SampleName,Sample_No,Dataset,Lineage,Subphylogroup,Phylogroup,PDEs,median_GR,median_K,inhibition_score,Bioreps
0CC1C_S1C25,15,Baker2023,acera34,F.3,F,noPDEs,0.0881498395,1.049162679,0.836474997443748,FALSE
0CC1C_S1C26,104,Baker2023,acera33,K.2,K,PDEs,0.069297239,0.9725997415,0.0448095971846634,FALSE
0CC1C_S1C28,44,Baker2023,acera34,F.3,F,noPDEs,0.1048897465,1.220832357,0.840742559243931,TRUE
0CC1C_S1C28,113,Baker2023,acera34,F.3,F,noPDEs,0.0994582725,1.3894980645,0.541713879102833,TRUE
0CC1C_S1C31,79,Baker2023,acera34,F.3,F,noPDEs,0.105645964,1.2378989585,0.842213984353676,FALSE
0CC1F_S1A34,47,Baker2023,acera33,K.2,K,PDEs,0.076981733,0.8317987685,0.106127471096741,FALSE
0CC1F_S1A38,23,Baker2023,acera33,K.2,K,PDEs,0.0739712015,0.8481659325,0.0137868678487872,FALSE
0CC1F_S1A42,27,Baker2023,acera33,K.2,K,PDEs,0.057601414,0.757998934,0.189918034119348,FALSE
0CC1F_S1A44,37,Baker2023,acera109,D.1,D,PDEs,0.1158545045,0.9865977955,0.280826619332261,FALSE
0CC1F_S1A44,115,Baker2023,acera109,D.1,D,PDEs,0.1133168105,0.88845184,0.284557506046649,FALSE
0CC1K_S1B02,4,Baker2023,acera109,D.1,D,PDEs,0.1174461735,0.8860758675,0.156851239348907,FALSE
0CC1N_S1D75,82,Baker2023,acera34,F.3,F,noPDEs,0.115694038,1.2501981885,0.748616940126645,FALSE
0CC2F_S1C14,119,Baker2023,acera36,H.2,H,PDEs,0.088814924,1.1613950145,0.122568925742368,FALSE
0CC2K_S1A72,103,Baker2023,acera35,K.1.2,K,PDEs,0.0855515185,0.9640996475,0.332228784738528,FALSE
0CC2N_S1D50,52,Baker2023,acera107,K.1.2,K,PDEs,0.1173839725,0.914316263,0.3709829987174,FALSE
0CC2N_S1D57,22,Baker2023,acera107,K.1.2,K,PDEs,0.109169296,0.9692897635,0.396791516969723,FALSE
0CC2N_S1D58,107,Baker2023,acera56,A.3,A,noPDEs,0.123015746,1.324866499,0.83397472969515,FALSE
