Unique_No,Unique_ID,Sample_No,Sample_Well,Sample_Plate,Bio_Replicate,Tech_Replicate,Phage,Growth Rate,Time to Max Growth,Saturation OD,Rsq,AUC
0,Plate 1 Well A1,1,A1,A,1,1,0,0.126051103,4.666666667,0.333932641,0.993163922,64.263
1,Plate 1 Well A2,2,A2,A,1,1,0,0.123083199,6,0.782266371,0.999908603,121.6981667
2,Plate 1 Well A3,3,A3,A,1,1,0,0.102869268,4.666666667,0.456195887,0.999598856,57.77566667
3,Plate 1 Well A4,4,A4,A,1,1,0,0.111989299,12.33361111,0.753899202,0.999754583,106.1029
4,Plate 1 Well A5,5,A5,A,1,1,0,0.108506845,7.333333333,0.724332535,0.999954762,110.1265333
5,Plate 1 Well A6,6,A6,A,1,1,0,0.104790367,4.666666667,0.573697542,0.998219772,77.17016667
6,Plate 1 Well A7,7,A7,A,1,1,0,0.101018541,4.666666667,0.976332673,0.99936558,135.0898
7,Plate 1 Well A8,8,A8,A,1,1,0,0.105384782,9.666944444,0.874598185,0.999866002,118.9766333
8,Plate 1 Well A9,9,A9,A,1,1,0,0.127836106,4.666666667,0.297864907,0.998621209,60.3893
9,Plate 1 Well A10,10,A10,A,1,1,0,0.10749143,5.666666667,0.675066126,0.999959313,103.1641333
10,Plate 1 Well A11,11,A11,A,1,1,0,0.103813777,4.666666667,0.746065911,0.999715758,122.0224333
11,Plate 1 Well A12,12,A12,A,1,1,0,0.106851969,9.333611111,0.491862075,0.999959655,72.66643333
12,Plate 1 Well B1,13,B1,A,1,1,0,0.116987977,5.666666667,0.128732056,0.999811891,37.4662
13,Plate 1 Well B2,14,B2,A,1,1,0,0.15313433,5.333333333,1.123599537,0.999464048,120.6861
14,Plate 1 Well B3,15,B3,A,1,1,0,0.086458018,4.666666667,1.050798274,0.998557365,154.2901
15,Plate 1 Well B4,16,B4,A,1,1,0,0.085543544,25.00083333,1.056796581,0.999874363,108.6910333
16,Plate 1 Well B5,17,B5,A,1,1,0,0.090512599,7.666666667,0.844866283,0.999957887,121.6602333
17,Plate 1 Well B6,18,B6,A,1,1,0,0.123734888,4.666666667,0.204992829,0.998800421,49.57753333
18,Plate 1 Well B7,19,B7,A,1,1,0,0.091887425,6.666666667,0.926666187,0.999944288,116.3811
19,Plate 1 Well B8,20,B8,A,1,1,0,0.088934381,4.666666667,0.259062427,0.999434056,51.6469
20,Plate 1 Well B9,21,B9,A,1,1,0,0.115126283,4.666666667,0.831387583,0.991271675,52.69323333
21,Plate 1 Well B10,22,B10,A,1,1,0,0.06037305,8.333333333,0.802804183,0.992211742,93.24076667
22,Plate 1 Well B11,23,B11,A,1,1,0,0.075073253,10.33361111,0.847998977,0.999943161,105.5694333
23,Plate 1 Well B12,24,B12,A,1,1,0,0.136720768,5,0.808331302,0.99952774,105.8536
24,Plate 1 Well C1,25,C1,A,1,1,0,0.145720372,6.666666667,0.216730424,0.999879013,46.82456667
25,Plate 1 Well C2,26,C2,A,1,1,0,0.113469255,4.666666667,0.933931801,0.999847282,142.3473667
26,Plate 1 Well C3,27,C3,A,1,1,0,0.058975938,12.33361111,0.719464917,0.999898271,70.1896
