SampleName,Phylogroup,Subphylogroup,Lineage,NewTreeTipLabel,type,subtype,GeneCount,GeneNames
0CC1C_S1C25,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C25,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1C_S1C26,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1C_S1C27,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1C_S1C28,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C28,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1C_S1C30,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1C_S1C31,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C31,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1C_S1C32,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1C_S1C34,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C34,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1C_S1C36,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1C_S1C37,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C37,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1C_S1C45,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C45,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1C_S1C46,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C46,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1C_S1C47,H,H.2,acera26,Researcher - Lineage 26,AbiD,AbiD,1,AbiD__AbiD
0CC1C_S1C47,H,H.2,acera26,Researcher - Lineage 26,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1C_S1C47,H,H.2,acera26,Researcher - Lineage 26,Gabija,Gabija,2,Gabija__GajA;Gabija__GajB_2
0CC1C_S1C47,H,H.2,acera26,Researcher - Lineage 26,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC1C_S1C47,H,H.2,acera26,Researcher - Lineage 26,PsyrTA,PsyrTA,1,PsyrTA__PsyrA
0CC1C_S1C47,H,H.2,acera26,Researcher - Lineage 26,RM,RM_Type_III,2,RM_Type_III__Type_III_MTases;RM_Type_III__Type_III_REases
0CC1F_S1A26,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1F_S1A26,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1F_S1A27,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A29,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1F_S1A29,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1F_S1A30,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A31,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
