plasmid_id	ptu	taxon_oid	scaffold_oid	source_type	ecosystem	length	gene_count	genomad_score	putatively_complete	topology	mob_genes	t4cp_genes	t4ss_atpase_genes	other_conjugation_genes	complete_mpf_family	origin_of_transfer	arg_genes	putative_phage_plasmid	host_prediction_method	host_taxonomy	closest_reference	closest_reference_ani_percent	closest_reference_af_percent
IMGPR_plasmid_3300009578_000029	PTU_00000280	3300009578	Ga0105227_101485	Metagenome	Environmental;Aquatic;Marine;Oceanic	4413	5	0.9915	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.64	100.0
IMGPR_plasmid_3300012552_000001	PTU_00000280	3300012552	Ga0118084_100126	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5573	8	0.9913	No	Linear				T_virB11				No			NC_021086.1	91.6	99.62
IMGPR_plasmid_3300009613_000011	PTU_00312613	3300009613	Ga0105228_100690	Metagenome	Environmental;Aquatic;Marine;Oceanic	5130	8	0.9910	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	96.06	100.0
IMGPR_plasmid_3300011702_000005	PTU_00037799	3300011702	Ga0118485_100150	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	6692	8	0.9908	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	93.52	100.0
IMGPR_plasmid_3300012572_000003	PTU_00000280	3300012572	Ga0118497_100309	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5011	8	0.9906	No	Linear				T_virB11				No			NC_021086.1	91.04	99.98
IMGPR_plasmid_3300012558_000001	PTU_00037799	3300012558	Ga0118494_100163	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5044	8	0.9901	No	Linear				T_virB11				No			NC_021086.1	91.14	99.96
IMGPR_plasmid_3300013158_000001	PTU_00000280	3300013158	Ga0118511_100099	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	8661	11	0.9900	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	97.94	99.85
IMGPR_plasmid_3300026101_000026	PTU_00000280	3300026101	Ga0208817_102164	Metagenome	Environmental;Aquatic;Marine;Oceanic	4311	5	0.9900	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.68	100.0
IMGPR_plasmid_3300006994_000001	PTU_01423906	3300006994	Ga0102729_100275	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	4605	5	0.9900	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.09	80.04
IMGPR_plasmid_3300013275_000003	PTU_00037799	3300013275	Ga0118096_100201	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4543	8	0.9899	No	Linear				T_virB11				No			NC_021086.1	99.87	100.0
IMGPR_plasmid_3300013452_000001	PTU_00000280	3300013452	Ga0118481_10155	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	6723	8	0.9898	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	93.56	99.85
IMGPR_plasmid_3300013408_000001	PTU_00037799	3300013408	Ga0117997_10173	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4211	7	0.9896	No	Linear								No			NC_021086.1	97.8	100.0
IMGPR_plasmid_3300011347_000002	PTU_00000280	3300011347	Ga0118263_100188	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5566	8	0.9895	No	Linear				T_virB11				No			NC_021086.1	91.63	99.08
IMGPR_plasmid_3300013211_000001	PTU_00000280	3300013211	Ga0118488_100083	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	10826	14	0.9894	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.48	99.93
IMGPR_plasmid_3300032031_000104	PTU_00000825	3300032031	Ga0326364_1342529	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7595	9	0.9892	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	88.37	98.84
IMGPR_plasmid_3300009578_000048	PTU_00000280	3300009578	Ga0105227_100935	Metagenome	Environmental;Aquatic;Marine;Oceanic	6818	10	0.9890	No	Linear				T_virB11				No			NC_021086.1	98.33	100.0
IMGPR_plasmid_7000000463_000004	PTU_00000280	7000000463	SRS013261_Baylor_scaffold_4675	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	5539	7	0.9887	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	94.93	100.0
IMGPR_plasmid_3300012546_000001	PTU_00037799	3300012546	Ga0118251_100199	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4940	8	0.9887	No	Linear				T_virB11				No			NC_021086.1	92.05	100.0
IMGPR_plasmid_3300013216_000003	PTU_00000280	3300013216	Ga0118281_100176	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	6609	6	0.9887	No	Linear			virb4					No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.87	100.0
IMGPR_plasmid_3300013326_000001	PTU_00000280	3300013326	Ga0118526_100088	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	6323	9	0.9885	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.79	100.0
IMGPR_plasmid_3300012433_000001	PTU_00000280	3300012433	Ga0118126_100045	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7019	7	0.9884	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	87.29	100.0
IMGPR_plasmid_3300006994_000003	PTU_00312613	3300006994	Ga0102729_100324	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	4165	9	0.9884	No	Linear								No			NC_021086.1	97.88	84.71
IMGPR_plasmid_3300013600_000002	PTU_00000280	3300013600	Ga0118493_10164	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4599	7	0.9883	No	Linear				T_virB11				No			NC_021086.1	90.31	100.0
IMGPR_plasmid_3300013207_000001	PTU_00000280	3300013207	Ga0118509_100019	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7275	8	0.9883	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.97	100.0
IMGPR_plasmid_3300012575_000001	PTU_00000280	3300012575	Ga0118085_100073	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	8549	10	0.9881	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	88.56	99.91
IMGPR_plasmid_3300009595_000001	PTU_00000280	3300009595	Ga0105214_100135	Metagenome	Environmental;Aquatic;Marine;Oceanic	4173	5	0.9879	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.62	100.0
