UVIG	Taxon_oid	Scaffold_oid	Coordinates ('whole' if the UViG is the entire contig)	Ecosystem classification	vOTU	Length	Topology	geNomad score	Confidence	Estimated completeness	Estimated contamination	MIUViG quality	Gene content (total genes;cds;tRNA;geNomad marker)	Taxonomic classification	Taxonomic classification method	Host taxonomy prediction	Host prediction method	Sequence origin (doi)
IMGVR_UViG_3300013691_000004	3300013691	Ga0118022_100004	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665137	29804	Linear	0.9804	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300020613_000007	3300020613	Ga0213760_10000212	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29541	Linear	0.9801	High-confidence	100	0	High-quality	44;44;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300027925_000007	3300027925	Ga0272400_10000244	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29472	Linear	0.9801	High-confidence	100	0	High-quality	44;44;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013140_000001	3300013140	Ga0118489_100029	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665137	29834	Linear	0.98	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300026229_000001	3300026229	Ga0209243_100134	whole	Environmental;Air;Outdoor Air;Unclassified	vOTU_04640131	29561	Direct terminal repeat	0.98	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_641201285_000001	641201285	641201312	whole	;;;	vOTU_08673161	29739	Linear	0.9799	High-confidence	100	0	Reference	48;48;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300013173_000005	3300013173	Ga0118345_100010	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02805798	29767	Linear	0.9798	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_7000000384_000001	7000000384	SRS020232_Baylor_scaffold_1131	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01768093	29596	Linear	0.9798	High-confidence	100	0	High-quality	41;41;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300026233_000001	3300026233	Ga0209762_100134	whole	Environmental;Air;Outdoor Air;Unclassified	vOTU_04640131	29567	Linear	0.9796	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007260_000001	3300007260	Ga0104926_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01649433	29750	Linear	0.9795	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007855_000001	3300007855	Ga0113870_100061	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01767215	29519	Direct terminal repeat	0.9795	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698366_000001	2595698366	2595727348	whole	;;;	vOTU_08673409	29514	Linear	0.9795	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
