SampleName,type,subtype,protein
2PA1F_X0356,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1C_X0661,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0253,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0258,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0261,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0360,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_31_23YDC_C731,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0244,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_57_23YDC_E957,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0263,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_32_23YDC_C832,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0252,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3C_Z03_56_23YCC_B856,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2AB1K_X0306,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0359,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0347,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1C_X0639,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0337,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0241,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1C_X0656,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_37_23YDC_D137,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0247,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
